date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-30.6,-32.6,-26.5,0,180,,,,,
2021-01-02,-29.4,-32.6,-26.7,0,180,120,8.9,,1052.4,
2021-01-03,-24.8,-29.3,-19.9,0.8,180,137,16.1,,1053.1,
2021-01-04,-21.2,-20.3,-19.3,1.5,191,146,14.9,,1051.2,
2021-01-05,-22.9,-23.8,-21.9,0,191,132,11.6,,1051.1,
2021-01-06,-23.1,-25.1,-21.2,0,191,126,13.1,,1050.8,
2021-01-07,-24.3,-27.8,-22.2,0,191,141,12.4,,1048.3,
2021-01-08,-17.4,-23.2,-14,0,191,192,15.8,,1036.8,
2021-01-09,-15.4,-17.8,-13.8,2,191,197,8.4,,1027.7,
2021-01-10,-20.3,-21.7,-15.3,0.5,201,27,11.9,,1025.8,
2021-01-11,-20.6,-24.6,-17.4,2,221,47,17.9,,1024.8,
2021-01-12,-25.5,-26.6,-23.3,0,201,41,16.4,,1028,
2021-01-13,-29.7,-32,-24.7,0,201,306,7.7,,1036.6,
2021-01-14,-27.6,-33.5,-21.9,0,201,211,9.5,,1042.1,
2021-01-15,-16.4,-28.6,-10.1,1,201,167,17.7,,1030.1,
2021-01-16,-9.6,-12.2,-7.1,0,211,166,10.8,,1010.8,
2021-01-17,-9.7,-10.9,-7.9,1.3,211,237,20.9,,1002.1,
2021-01-18,-17.7,-19.9,-10.9,0,,268,16.2,,1012.8,
2021-01-19,-21.3,-27.1,-17.4,0,239,281,8.2,,1022.5,
2021-01-20,-17.6,-20.8,-16.6,4.1,239,93,14.4,,1015.9,
2021-01-21,-20.4,-22,-17,1.3,259,264,12.8,,1009.8,
2021-01-22,-26.9,-30.3,-24.3,0,259,311,10.1,,1016.6,
2021-01-23,-33.4,-37.3,-31.4,0,259,326,7.6,,1034.7,
2021-01-24,-29.1,-36.2,-23.1,0.5,259,155,12.3,,1038.2,
2021-01-25,-18,-25.9,-13.3,2.3,279,147,8.5,,1030.2,
2021-01-26,-1.3,-17,0.4,1.3,290,249,19.8,,1024.1,
2021-01-27,-2.6,-3.5,-2.7,0,269,258,18.6,,1025.3,
2021-01-28,-1.7,-2.8,0.4,0,259,232,21.5,,1022.9,
2021-01-29,-8.2,-12.2,-4,0,259,211,11.6,,1024.1,
2021-01-30,-9.9,-15,-7,0,259,145,13.8,,1022.9,
2021-01-31,-10.9,-16.3,-6.7,0,259,198,8.1,,1020.8,
2021-02-01,-10.9,-16.5,-7.2,0.2,269,170,12.5,,1020.8,
2021-02-02,-6.6,-11,-3.6,2.3,259,220,15.1,,1019,
2021-02-03,-9,-12.3,-4.2,0.5,279,274,13.5,,1016.1,
2021-02-04,-12.4,-19.8,-11,0,279,216,10.2,,1019.6,
2021-02-05,-2.8,-10.5,-0.2,1,290,187,11.5,,1009.6,
2021-02-06,2,-0.8,4.7,1.9,279,176,21.9,,996.4,
2021-02-07,-10.8,-17.3,1.1,8.9,269,213,27.8,,983.9,
2021-02-08,-22,-22.9,-18.4,0.5,269,236,18,,994.4,
2021-02-09,-25.8,-27.4,-23.3,0.3,269,274,17.4,,1006.1,
2021-02-10,-26.8,-29.9,-23.2,0,269,265,11.4,,1024.4,
2021-02-11,-27.4,-30.5,-22.3,0,,220,8.2,,1032.1,
2021-02-12,-23.9,-29.9,-19.1,0,,139,8.4,,1031.2,
2021-02-13,-7.4,-18.7,-5.5,0.3,,173,11,,1024.1,
2021-02-14,-2.6,-8,0.5,2,279,193,16.8,,1014.7,
2021-02-15,-12.3,-16.6,-4.1,3,310,234,21.6,,1012.4,
2021-02-16,-18.7,-24.8,-12.5,0,290,244,10.9,,1016.4,
2021-02-17,-21.5,-23.2,-16.9,0,290,256,16,,1023.3,
2021-02-18,-21,-26.1,-18.7,0,290,350,10.7,,1022.8,
2021-02-19,-25.7,-27.7,-22.8,0,,329,12.2,,1018.7,
2021-02-20,-25,-29.7,-20.9,0.7,,130,7.4,,1021.4,
2021-02-21,-22.1,-27.3,-19.5,0.2,,303,9.9,,1020.8,
2021-02-22,-23.7,-29.6,-19,0.2,300,80,9.9,,1025.3,
2021-02-23,-25.6,-29.3,-21.6,0.5,,41,24.1,,1026.3,
2021-02-24,-22.6,-26.2,-20.9,4.1,290,20,31.6,,1017.1,
2021-02-25,-23.6,-26.7,-18.4,0.8,290,333,16.7,,1022.7,
2021-02-26,-21.4,-31.3,-11.8,0,290,205,7.3,,1028.1,
2021-02-27,-22.4,-27.9,-17.8,0,290,156,13.1,,1025.1,
2021-02-28,-17.1,-22.2,-14,0.3,300,87,17.1,,1015.7,
2021-03-01,-18.3,-22.9,-12.4,0.3,300,10,8.6,,1015.6,
2021-03-02,-15.3,-26.2,-8.3,0,300,202,13.7,,1010.5,
2021-03-03,-8.1,-14,-3.5,0.3,300,203,17.9,,1000.2,
2021-03-04,-4.9,-9.2,-0.3,0.5,300,216,12.6,,996.6,
2021-03-05,-5,-10.7,-0.3,2,300,221,18.5,,995.5,
2021-03-06,-7.8,-9.9,-4,0.1,330,261,18.5,,1003.6,
2021-03-07,-12.3,-20.3,-6.9,0.5,340,251,9.8,,1008.8,
2021-03-08,-12.3,-17.6,-8.5,0.5,340,238,14.3,,1006.6,
2021-03-09,-10.2,-13.6,-2.7,2,340,237,13.1,,1005.5,
2021-03-10,-10,-17.8,-5.4,0,361,57,14.1,,1006.8,
2021-03-11,-15.2,-17.3,-11.3,6.1,399,3,22.7,,1002.3,
2021-03-12,-17.2,-20.8,-12,0.5,419,283,14.8,,1014.7,
2021-03-13,-11.3,-19,-3.2,0,399,260,17.7,,1022.6,
2021-03-14,-10.4,-18.9,-2.9,0,391,250,17,,1027,
2021-03-15,-6.1,-15.9,-1.4,0,381,244,17.7,,1025.7,
2021-03-16,-4.4,-14.2,0.9,0,371,241,16.4,,1025.4,
2021-03-17,-3,-5.1,1.6,0,361,250,18.7,,1024.3,
2021-03-18,-2.4,-8.8,2.7,0,361,206,15.6,,1026,
2021-03-19,-3.1,-6.9,-0.8,0,351,157,15.1,,1014.1,
2021-03-20,-1.6,-2.7,0.2,2,340,169,9.1,,995.4,
2021-03-21,-3.6,-5.2,0,0,381,272,16.5,,1000.3,
2021-03-22,-4.6,-10.9,0.4,0,371,244,10.9,,1009.9,
2021-03-23,-3.5,-11.8,2.1,0,351,220,13.5,,1012.3,
2021-03-24,0.4,-4.8,2.8,0,340,244,18.9,,1010.3,
2021-03-25,1.1,-2.3,4.6,0.3,340,264,16.9,,1010,
2021-03-26,4.4,-1.5,11.1,0,310,243,16.1,,1008.9,
2021-03-27,2.3,-3.8,7.3,0,249,327,12.7,,1008,
2021-03-28,-1.6,-4.3,0.7,0,239,332,18.8,,1013.5,
2021-03-29,-4.3,-8,-0.7,2,259,344,16.2,,1020.2,
2021-03-30,-3.3,-15.2,4.2,0,259,249,10.9,,1029.8,
2021-03-31,3.1,-3.4,8.8,0,239,226,18.9,,1023.9,
2021-04-01,1.4,0,2.7,2.8,221,221,24.4,,1014.8,
2021-04-02,4.3,1.6,6.4,0,221,229,19.3,,1012.3,
2021-04-03,5.1,0.5,9,0,160,205,16.7,,1015.2,
2021-04-04,3.4,-1,7.7,2,71,157,13.1,,1007.4,
2021-04-05,1.8,0.2,3.8,1,20,202,13.6,,1000,
2021-04-06,2.3,-1.2,7.3,4.1,10,267,18.1,,1012.6,
2021-04-07,3.3,-3.6,8.2,0,,182,10.6,,1021.2,
2021-04-08,5.4,1.4,8.7,0.8,,97,14.6,,1018.7,
2021-04-09,4.5,-0.9,9.5,0,,75,7.5,,1024,
2021-04-10,5.2,-0.7,11.3,0,,169,11.3,,1034.1,
2021-04-11,8.6,0.6,15.5,0,,198,20.3,,1034.2,
2021-04-12,8.3,4,15,0.5,,285,12.6,,1032.3,
2021-04-13,9.3,-2.9,16.7,0,,275,10.3,,1037.7,
2021-04-14,13.5,5.8,22.1,0,,252,16.6,,1028.3,
2021-04-15,15.3,2.8,23.5,0,,249,14.9,,1021.1,
2021-04-16,6,0.7,10.4,0,,9,17.2,,1022.8,
2021-04-17,5.4,-4.9,13,0,,241,12.5,,1023.2,
2021-04-18,0.9,-4.9,5,0,,328,23.1,,1019.4,
2021-04-19,-2.2,-9.8,3.1,0,,349,12.5,,1032.2,
2021-04-20,3,-9.7,10.6,0,,258,14,,1029.8,
2021-04-21,7.7,-1.3,14.7,0,,355,11,,1029.8,
2021-04-22,9.8,-0.2,16.9,0,,145,16.1,,1035.1,
2021-04-23,11.6,6.5,15.4,0,,179,16.2,,1032.5,
2021-04-24,8.2,5.1,11,0,,144,14.5,,1027.5,
2021-04-25,10.9,5,16,0,,130,16.4,,1017.4,
2021-04-26,7.6,4.3,12.8,0,,241,17.3,,1013.2,
2021-04-27,9.7,-0.5,16,0,,234,14.1,,1010.3,
2021-04-28,11.4,5.5,16,0,,252,14.8,,1007.9,
2021-04-29,8.1,1.8,12.3,0.2,,261,18.5,,1009.6,
2021-04-30,5.9,2,9.7,2,,273,17.5,,1014.4,
2021-05-01,10.6,-1.4,16.4,0,,235,15.7,,1021.9,
2021-05-02,11.9,8.9,19.6,2,,227,19.4,,1014.4,
2021-05-03,8.8,5,14.8,0,,303,12.6,,1018.9,
2021-05-04,14.4,3.3,23.2,0,,200,19.3,,1015.3,
2021-05-05,22.2,13.9,27.7,0,,189,20.2,,1002.8,
2021-05-06,10.7,8,13.9,0,,276,25.8,,1004.2,
2021-05-07,12.6,2.1,21.6,0,,257,14.2,,1017.4,
2021-05-08,16.9,3.7,24.8,0,,195,8.8,,1017.1,
2021-05-09,17.8,9.9,24.1,0,,88,13.9,,1016.7,
2021-05-10,15.1,10.1,19.6,0,,75,14.8,,1023.9,
